STN,DATE,windrichting,windsnelheid,temperatuur,mintemperatuur,maxtemperatuur,zonneschijnduur,globalestraling,neerslag,bewolking,luchtvochtigheid,referentiegewasverdamping
215,2025-01-01,  225,  102,79,55,101,0,30,199,    8,83,0
215,2025-01-02,  309,   35,38,0,66,25,248,22,    6,83,3
215,2025-01-03,  292,   58,34,10,59,17,175,32,    6,80,2
215,2025-01-04,  183,   28,25,12,46,0,105,38,    8,90,1
215,2025-01-05,  179,   73,57,0,120,0,40,222,    8,92,1
215,2025-01-06,  216,  101,86,48,124,6,119,32,    7,80,2
215,2025-01-07,  234,   62,46,22,61,32,286,22,    7,78,4
215,2025-01-08,  262,   42,39,17,56,26,244,1,    7,80,3
215,2025-01-09,  291,   42,25,-19,62,40,331,32,    7,82,4
215,2025-01-10,  279,   44,28,-27,56,61,433,16,    3,81,5
215,2025-01-11,  329,   19,12,-34,68,67,478,5,    4,87,5
215,2025-01-12,  309,   13,22,-13,68,36,355,-1,    6,86,4
215,2025-01-13,  201,   24,1,-36,50,70,494,0,    5,86,5
215,2025-01-14,  235,   41,46,-6,75,17,263,3,    8,90,3
215,2025-01-15,  296,   12,71,57,82,2,163,0,    8,97,2
215,2025-01-16,  150,   26,43,14,69,0,142,0,    8,96,2
215,2025-01-17,  185,   21,9,-6,18,0,110,0,    8,97,1
215,2025-01-18,  125,   29,-9,-22,6,0,163,0,    8,96,2
215,2025-01-19,  191,   16,-3,-7,2,0,86,0,    8,92,1
215,2025-01-20,  182,   34,9,0,15,0,80,-1,    8,91,1
215,2025-01-21,  165,   38,1,-7,15,0,145,0,    8,96,2
215,2025-01-22,  150,   21,22,-9,54,0,111,37,    8,95,1
215,2025-01-23,  230,   64,60,46,76,11,259,42,    8,85,3
215,2025-01-24,  205,   75,78,47,99,5,108,44,    8,86,1
215,2025-01-25,  234,   23,48,10,74,36,325,18,    8,90,4
215,2025-01-26,  162,   51,38,16,70,52,484,30,    7,87,6
215,2025-01-27,  198,   85,88,64,109,64,530,84,    5,77,8
215,2025-01-28,  185,   74,79,64,89,0,149,80,    7,83,2
215,2025-01-29,  252,   55,72,59,84,17,276,16,    8,86,4
215,2025-01-30,  323,   30,56,24,80,25,349,1,    6,86,4
215,2025-01-31,  192,   23,22,-22,65,23,352,0,    5,91,4
215,2025-02-01,  126,   20,7,-30,66,76,688,0,    2,87,7
215,2025-02-02,     ,     ,3,-33,41,81,788,0,     ,88,8
215,2025-02-03,     ,     ,20,-20,67,80,668,0,     ,90,8
215,2025-02-04,  192,   54,34,16,59,12,258,0,    8,87,3
215,2025-02-05,  244,   28,42,-5,90,82,661,0,    6,92,8
215,2025-02-06,   47,   35,34,-20,79,46,520,0,    5,88,6
215,2025-02-07,   78,   78,33,19,49,7,322,0,    8,75,4
215,2025-02-08,  103,   38,41,18,75,25,359,-1,    8,78,4
215,2025-02-09,   69,   35,38,18,53,12,300,0,    8,80,4
215,2025-02-10,   70,   65,19,8,30,14,274,33,    8,83,3
215,2025-02-11,  111,   37,24,5,39,0,85,76,    8,94,1
215,2025-02-12,   41,   19,40,22,61,1,237,1,    8,93,3
215,2025-02-13,   28,   38,13,-24,37,25,427,0,    7,81,5
215,2025-02-14,  108,   17,-2,-47,38,64,704,0,    4,85,7
215,2025-02-15,  116,   22,13,-15,35,5,369,0,    8,79,4
215,2025-02-16,   81,   50,9,-16,44,80,915,0,    3,74,10
215,2025-02-17,   78,   33,-7,-34,28,88,954,0,    2,75,10
215,2025-02-18,  103,   52,-7,-43,31,89,934,0,    6,67,10
215,2025-02-19,  122,   50,10,-23,47,55,683,0,    8,62,8
215,2025-02-20,  181,   44,71,-1,120,7,347,10,    8,87,5
215,2025-02-21,  172,   47,134,86,175,44,722,0,    8,74,12
215,2025-02-22,  201,   43,99,59,120,0,142,44,    7,89,2
215,2025-02-23,  199,   59,102,62,140,65,867,0,    7,80,13
215,2025-02-24,  209,   74,101,76,117,12,214,86,    7,84,3
215,2025-02-25,  253,   35,80,59,112,29,591,0,    8,90,8
215,2025-02-26,  213,   46,68,21,106,67,958,43,    5,82,13
215,2025-02-27,  282,   49,60,50,75,21,510,20,    8,87,7
215,2025-02-28,  359,   49,54,12,84,54,908,1,    5,86,12
215,2025-03-01,   23,   21,38,-19,89,48,857,0,    6,85,10
215,2025-03-02,  338,   12,18,-31,92,98,1255,0,    1,89,14
215,2025-03-03,  305,   11,15,-42,94,96,1272,0,    3,89,14
215,2025-03-04,  262,   11,29,-33,113,100,1275,0,    3,85,15
